,id,name,release_date,artist_id,genre
0,3SpBlxme9WbeQdI9kx7KAV,Certified Lover Boy,2021-09-03,3TVXtAsR1Inumwj472S9r4,rap
2,6OQ9gBfg5EXeNAEwGSs6jK,Dark Lane Demo Tapes,2020-05-01,3TVXtAsR1Inumwj472S9r4,rap
3,7dqpveMVcWgbzqYrOdkFTD,Care Package,2019-08-02,3TVXtAsR1Inumwj472S9r4,rap
4,2podUJIFG8hLfFz7Kqe8yJ,So Far Gone,2019-02-14,3TVXtAsR1Inumwj472S9r4,rap
5,1ATL5GLyefJaxhQzSPVrLX,Scorpion,2018-06-29,3TVXtAsR1Inumwj472S9r4,rap
6,1lXY618HWkwYKJWBRYR4MK,More Life,2017-03-18,3TVXtAsR1Inumwj472S9r4,rap
7,40GMAhriYJRO1rsY4YdrZb,Views,2016-05-06,3TVXtAsR1Inumwj472S9r4,rap
8,15QCBYjP6HwHvsff100UBx,What A Time To Be Alive,2015-09-25,3TVXtAsR1Inumwj472S9r4,rap
10,6kZ42qRrzov54LcAk4onW9,Red (Taylor's Version),2021-11-12,06HL4z0CvFAxyc27GXpf02,pop
11,4hDok0OAJd57SGIT8xuWJH,Fearless (Taylor's Version),2021-04-09,06HL4z0CvFAxyc27GXpf02,pop
12,6AORtDjduMM3bupSWzbTSG,evermore (deluxe version),2021-01-07,06HL4z0CvFAxyc27GXpf02,pop
13,40zKHK0aGM4PITqPy5vfQh,evermore,2020-12-11,06HL4z0CvFAxyc27GXpf02,pop
15,0PZ7lAru5FDFHuirTkWe9Z,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,06HL4z0CvFAxyc27GXpf02,pop
16,1pzvBxYgT6OVwJLtHkrdQK,folklore (deluxe version),2020-08-18,06HL4z0CvFAxyc27GXpf02,pop
18,2fenSS68JI1h4Fo296JfGr,folklore,2020-07-24,06HL4z0CvFAxyc27GXpf02,pop
19,1NAmidJlEaVgA3MpcPFYGq,Lover,2019-08-23,06HL4z0CvFAxyc27GXpf02,pop
20,3esNgb0dchNmQ3MhlUVaa7,Dawn FM (Alternate World),2022-01-07,1Xyo4u8uXC1ZmMpatF05PJ,pop
21,2nLOHgzXzwFEpl62zAgCEC,Dawn FM,2022-01-06,1Xyo4u8uXC1ZmMpatF05PJ,pop
22,6YlDIxqEjvY63ffH6AwCjd,After Hours (Deluxe),2020-04-03,1Xyo4u8uXC1ZmMpatF05PJ,pop
24,4qZBW3f2Q8y0k1A84d4iAO,"My Dear Melancholy,",2018-03-30,1Xyo4u8uXC1ZmMpatF05PJ,pop
25,2ODvWsOgouMbaA5xf0RkJe,Starboy,2016-11-25,1Xyo4u8uXC1ZmMpatF05PJ,pop
