,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,The Neighbourhood,Softcore,2K7xn816oNHJZ0aVqdQsha,91,0.575,0.568,9,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986,206280,4
1,Schoolgirl Byebye,"Year,2015",0UsmyJDsst2xhX1ZiFF3JW,26,0.314,0.0855,9,-15.775,1,0.0342,0.969,0.795,0.16,0.161,69.893,74302,3
2,Juice WRLD,All Girls Are The Same,4VXIryQMWpIdGgYR4TrjT1,85,0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,165820,4
3,Fleetwood Mac,Rhiannon (Will You Ever Win) - 2018 Remaster,4fbwTO3DJ2qryMddov9RbB,51,0.684,0.638,9,-9.025,0,0.0312,0.365,0.0207,0.119,0.81,129.959,226773,4
4,Morgan Wallen,Whiskey Glasses,6foY66mWZN0pSRjZ408c00,81,0.614,0.68,6,-4.58,1,0.0289,0.369,1.84e-06,0.115,0.707,149.959,234347,4
5,Revenant,Year 2018,7AFlWfLvu8ESnVrtHxHpEZ,0,0.478,0.689,11,-5.39,0,0.0469,0.0227,0.0,0.183,0.118,99.903,391298,4
6,Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,87,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,239836,4
7,Otmar Eros,"Year 2016:, Pt. 1",48Mk9nvXiHZ9eSDqkX8sSZ,20,0.474,0.0185,10,-31.5,1,0.0524,0.989,0.925,0.0601,0.0227,75.068,59443,3
8,Lil Baby,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,84,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,145543,4
9,Fleetwood Mac,Gypsy - 2018 Remaster,5nTnApD6zNvuHJe0fXU5Jg,47,0.615,0.689,5,-9.602,1,0.0297,0.0442,0.00704,0.278,0.736,131.824,263867,4
10,Joji,SLOW DANCING IN THE DARK,0rKtyWc8bvkriBthvHKY8d,85,0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964,209274,4
11,Otmar Eros,"Year 2016:, Pt. 4",1sUxW2zAmXA7lXHC8Dxu4s,18,0.241,0.064,5,-24.272,1,0.0602,0.994,0.95,0.0715,0.0372,141.739,69840,4
12,Playboi Carti,Shoota (feat. Lil Uzi Vert),2BJSMvOGABRxokHKB0OI8i,83,0.673,0.649,1,-8.433,0,0.196,0.188,0.0,0.122,0.47,153.075,153800,4
13,Fleetwood Mac,Tusk - 2018 Remaster,6U0NPtExZu3tKg8ZDozFxl,49,0.613,0.785,9,-11.856,0,0.0854,0.224,0.842,0.168,0.919,180.967,218867,4
14,Lil Baby,Yes Indeed,6vN77lE9LK6HP2DewaN6HZ,82,0.963,0.346,5,-9.309,0,0.53,0.0355,0.0,0.108,0.562,119.957,142273,4
15,Otmar Eros,"Year 2016:, Pt. 2",3DfKQFbKLYCnzluGint477,18,0.139,0.0829,0,-20.026,1,0.0822,0.601,0.975,0.0869,0.0363,61.692,144149,4
16,Mitski,Washing Machine Heart,3jjsRKEsF42ccXf8kWR3nu,85,0.613,0.822,9,-4.087,1,0.026,0.0092,0.506,0.429,0.567,105.997,128199,4
