,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,"Tyler, The Creator",NEW MAGIC WAND,0fv2KH6hac06J86hBUTcSf,87,0.621,0.73,5,-5.414,0,0.107,0.0967,0.000131,0.673,0.464,139.566,195320,4
1,Schoolgirl Byebye,"Year,2015",0UsmyJDsst2xhX1ZiFF3JW,26,0.314,0.0855,9,-15.775,1,0.0342,0.969,0.795,0.16,0.161,69.893,74302,3
2,Yot Club,YKWIM?,2vWBUC9djv6BtiGlmKiQaH,86,0.372,0.537,9,-7.623,1,0.0305,0.937,0.873,0.287,0.228,123.735,212750,3
3,Matt Monro,The Music Played - 2019 Stereo Remix,5E8remXZPiYuvZEzavW4lT,49,0.39,0.345,6,-13.941,0,0.0279,0.37,1.48e-05,0.588,0.351,80.764,201960,1
4,Labrinth,Mount Everest,1ZdhOMWyFR8Iv9eylMGYg2,90,0.494,0.428,0,-7.239,0,0.205,0.236,0.0698,0.0816,0.44,87.724,157497,4
5,Jonas Brothers,Year 3000,4zP7ADsgJgHGY6VzxbNp1z,67,0.659,0.857,11,-5.85,1,0.0437,0.0045,1.93e-06,0.335,0.798,106.965,201960,4
6,AnnenMayKantereit,Tom's Diner,0oA9wBGDY4uyILLg4GymWP,87,0.68,0.428,6,-8.107,0,0.135,0.376,0.000344,0.355,0.334,98.222,269333,4
7,Otmar Eros,"Year 2016:, Pt. 1",48Mk9nvXiHZ9eSDqkX8sSZ,20,0.474,0.0185,10,-31.5,1,0.0524,0.989,0.925,0.0601,0.0227,75.068,59443,3
8,Post Malone,Circles,21jGcNKet2qwijlDFuPiPb,88,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4
9,Hazy Year,Melted,6NoCnaM3N02Pngli1xf0WL,44,0.796,0.244,9,-12.931,1,0.0618,0.565,0.893,0.115,0.678,80.073,168000,4
10,"Tyler, The Creator",EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,84,0.554,0.498,9,-8.866,1,0.0685,0.23,5.98e-06,0.795,0.413,79.635,190067,4
11,Jae Bandz Playboi Mondo,Year 2019,18oghhVq7nt2m5oqJ3JIGU,0,0.932,0.431,11,-11.535,1,0.482,0.026,0.0,0.0602,0.243,121.987,220369,4
12,Harry Styles,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,90,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,174000,4
13,Otmar Eros,"Year 2016:, Pt. 4",1sUxW2zAmXA7lXHC8Dxu4s,18,0.241,0.064,5,-24.272,1,0.0602,0.994,0.95,0.0715,0.0372,141.739,69840,4
14,Doja Cat,Streets,60ynsPSSKe6O3sfwRnIBRf,86,0.749,0.463,11,-8.433,1,0.0842,0.21,0.0382,0.338,0.189,90.035,226987,4
15,Foster The People,Pumped Up Kicks,2ED8sc40RVFvgqao2r3Qqn,48,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,239600,4
16,CKay,love nwantiti (ah ah ah),2Xr1dTzJee307rmrkt8c0g,90,0.727,0.739,8,-3.805,1,0.0411,0.365,0.00137,0.161,0.533,93.005,145800,4
17,Otmar Eros,"Year 2016:, Pt. 2",3DfKQFbKLYCnzluGint477,18,0.139,0.0829,0,-20.026,1,0.0822,0.601,0.975,0.0869,0.0363,61.692,144149,4
18,J. Cole,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,83,0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984,213594,4
19,Pink Floyd,Learning to Fly - Remix 2019,7ehiVYskJ26ICzlSjVVXjg,35,0.517,0.57,0,-12.329,1,0.0325,0.375,0.00931,0.188,0.484,82.992,292893,4
20,J Balvin,LA CANCIÓN,0fea68AdmYNygeTGI4RC18,88,0.754,0.646,7,-5.795,1,0.317,0.152,1.85e-05,0.108,0.429,176.089,242573,4
21,Anthem Lights,K-LOVE Fan Awards: Songs of the Year (2015 Mash-Up),5rJw9VsPNdfnV9Ar97xZG2,29,0.39,0.455,4,-4.247,1,0.0316,0.397,0.0,0.125,0.358,107.012,182288,4
22,Juice WRLD,Robbery,6iaSML1PIYq936g62BDtBq,83,0.623,0.692,2,-5.122,1,0.0504,0.328,0.0,0.153,0.566,79.899,240051,4
23,StringStorm,Ten Thousand Years,2mLxRnBIF8czuThqRxIjE5,37,0.5,0.742,2,-13.368,0,0.0418,0.0101,2.22e-06,0.128,0.255,79.986,203807,4
24,"Tyler, The Creator","GONE, GONE / THANK YOU",1hz7SRTGUNAtIQ46qiNv2p,82,0.518,0.492,10,-8.436,0,0.193,0.216,0.0012,0.146,0.471,78.848,375387,4
25,Anthem Lights,K-Love Fan Awards: Songs of the Year (2014 Mash-Up),00ohIpPn9LkKpeIqhfIU9V,27,0.42,0.281,11,-8.204,1,0.0334,0.829,0.0,0.376,0.229,119.515,213165,4
